Name,Spearman
Cc72_00013577-RA,-0.821428571
Cc72_00013588-RA,
Cc72_00013579-RA,-0.607142857
Cc72_00013582-RA,-0.801783726
Cc72_00013589-RA,0.642857143
Cc72_00013578-RA,-0.535714286
Cc72_00013585-RA,-0.25
Cc72_00013587-RA,-0.01970276
Cc72_00013586-RA,0.333562192
Cc72_00013584-RA,0.40824829
Cc72_00013583-RA,
Cc72_00013592-RA,-0.464285714
Cc72_00013591-RA,-1
Cc72_00013590-RA,-0.785714286
Cc72_00013593-RA,
Cc72_00013595-RA,0.214285714
Cc72_00013594-RA,
Cc72_00013600-RA,-0.785714286
Cc72_00013597-RA,-0.612372436
Cc72_00013598-RA,-0.607142857
Cc72_00013596-RA,0.071428571
Cc72_00013602-RA,-0.857142857
Cc72_00013610-RA,-0.857142857
Cc72_00013615-RA,-0.928571429
Cc72_00013604-RA,0.464285714
Cc72_00013612-RA,-0.857142857
Cc72_00013613-RA,-0.785714286
Cc72_00013605-RA,-0.214285714
Cc72_00013616-RA,-0.678571429
Cc72_00013614-RA,
Cc72_00013599-RA,0.612372436
Cc72_00013611-RA,
Cc72_00013601-RA,-0.204124145
Cc72_00013606-RA,-0.306318737
Cc72_00013607-RA,-0.667124385
Cc72_00013603-RA,-0.133630621
Cc72_00013608-RA,
Cc72_00013609-RA,
Cc72_00013621-RA,-0.324337487
Cc72_00013619-RA,-0.612372436
Cc72_00013620-RA,0.321428571
Cc72_00013622-RA,-0.866921447
Cc72_00013617-RA,0.678571429
Cc72_00013618-RA,-0.321428571
Cc72_00013623-RA,-0.866921447
Cc72_00013630-RA,0.714285714
Cc72_00013631-RA,-0.714285714
Cc72_00013626-RA,
Cc72_00013624-RA,-0.778311782
Cc72_00013625-RA,-0.678571429
Cc72_00013629-RA,-0.571380045
Cc72_00013627-RA,-0.785714286
Cc72_00013628-RA,-0.75
Cc72_00013632-RA,0.857142857
Cc72_00013637-RA,-0.612372436
Cc72_00013634-RA,-0.75
Cc72_00013635-RA,-0.704186851
Cc72_00013633-RA,-0.035714286
Cc72_00013639-RA,-0.464285714
Cc72_00013636-RA,-0.906326967
Cc72_00013638-RA,0.035714286
Cc72_00013642-RA,
Cc72_00013644-RA,
Cc72_00013640-RA,
Cc72_00013643-RA,
Cc72_00013645-RA,0
Cc72_00013641-RA,
Cc72_00013646-RA,-0.642857143
Cc72_00013649-RA,-0.535714286
Cc72_00013652-RA,-0.900937463
Cc72_00013653-RA,-0.892857143
Cc72_00013651-RA,-0.757240185
Cc72_00013647-RA,-0.801783726
Cc72_00013650-RA,-0.866921447
Cc72_00013648-RA,-0.464285714
Cc72_00013654-RA,
Cc72_00013657-RA,-0.107142857
Cc72_00013656-RA,-0.678571429
Cc72_00013659-RA,-0.142857143
Cc72_00013655-RA,-0.828862466
Cc72_00013658-RA,0.321428571
Cc72_00013660-RA,-0.75
Cc72_00013661-RA,0.321428571
Cc72_00013668-RA,
Cc72_00013667-RA,
Cc72_00013662-RA,-0.678571429
Cc72_00013663-RA,0.535714286
Cc72_00013664-RA,-0.071428571
Cc72_00013665-RA,-0.778311782
Cc72_00013669-RA,
Cc72_00013670-RA,-0.518874522
Cc72_00013666-RA,-0.612372436
Cc72_00013671-RA,
Cc72_00013676-RA,0.321428571
Cc72_00013673-RA,-0.642857143
Cc72_00013682-RA,
Cc72_00013674-RA,0.75
Cc72_00013675-RA,0.571428571
Cc72_00013677-RA,-0.481812056
Cc72_00013679-RA,-0.642857143
Cc72_00013683-RA,0.036037499
Cc72_00013678-RA,0.785714286
Cc72_00013680-RA,-0.214285714
Cc72_00013681-RA,-0.107142857
Cc72_00013672-RA,
Cc72_00013697-RA,0.267261242
Cc72_00013693-RA,-0.414431233
Cc72_00013689-RA,0
Cc72_00013701-RA,0
Cc72_00013696-RA,
Cc72_00013702-RA,
Cc72_00013695-RA,
Cc72_00013694-RA,0.579066024
Cc72_00013700-RA,0.400891863
Cc72_00013699-RA,
Cc72_00013707-RA,0.612372436
Cc72_00013708-RA,0
Cc72_00013704-RA,0
Cc72_00013713-RA,
Cc72_00013714-RA,0.612372436
Cc72_00013716-RA,-0.40824829
Cc72_00013718-RA,-0.612372436
Cc72_00013719-RA,-0.610785565
Cc72_00013692-RA,0.142857143
Cc72_00013690-RA,-0.178571429
Cc72_00013722-RA,-0.111187397
Cc72_00013709-RA,
Cc72_00013717-RA,
Cc72_00013684-RA,-0.222717702
Cc72_00013721-RA,
Cc72_00013703-RA,-0.714285714
Cc72_00013720-RA,
Cc72_00013706-RA,0.75
Cc72_00013691-RA,-0.370624658
Cc72_00013698-RA,
Cc72_00013712-RA,0
Cc72_00013723-RA,-0.785714286
Cc72_00013705-RA,-0.40824829
Cc72_00013685-RA,
Cc72_00013687-RA,0.222717702
Cc72_00013715-RA,-0.071428571
Cc72_00013710-RA,0.40824829
Cc72_00013688-RA,
Cc72_00013686-RA,
Cc72_00013711-RA,
Cc72_00013724-RA,0.892857143
Cc72_00013729-RA,0.107142857
Cc72_00013725-RA,0.357142857
Cc72_00013726-RA,-0.857142857
Cc72_00013728-RA,-0.571428571
Cc72_00013727-RA,-0.714285714
Cc72_00013731-RA,0.40824829
Cc72_00013730-RA,0
Cc72_00013732-RA,0.25
Cc72_00013733-RA,-0.035714286
Cc72_00013736-RA,0.785714286
Cc72_00013734-RA,
Cc72_00013735-RA,-0.768407646
Cc72_00013738-RA,
Cc72_00013737-RA,-0.40824829
Cc72_00013740-RA,0.785714286
Cc72_00013743-RA,-0.801783726
Cc72_00013742-RA,
Cc72_00013741-RA,
Cc72_00013739-RA,0.214285714
Cc72_00013747-RA,0.571428571
Cc72_00013746-RA,-0.612372436
Cc72_00013744-RA,-0.75
Cc72_00013745-RA,-0.392857143
Cc72_00013753-RA,0.75
Cc72_00013748-RA,-0.801783726
Cc72_00013749-RA,-0.963624112
Cc72_00013752-RA,-0.757240185
