Name,Pearson
Cc72_00013781-RA,0.594098512
Cc72_00013780-RA,-0.928965796
Cc72_00013778-RA,-0.02747506
Cc72_00013782-RA,-0.499518758
Cc72_00013784-RA,-0.797870336
Cc72_00013783-RA,-0.302123089
Cc72_00013787-RA,0.455915349
Cc72_00013786-RA,
Cc72_00013785-RA,0.524146336
Cc72_00013791-RA,-0.835164722
Cc72_00013789-RA,0.868231132
Cc72_00013788-RA,0.883152364
Cc72_00013792-RA,-0.436095815
Cc72_00013790-RA,-0.750035033
Cc72_00013797-RA,
Cc72_00013799-RA,-0.433416132
Cc72_00013795-RA,-0.442682028
Cc72_00013796-RA,-0.816344706
Cc72_00013794-RA,
Cc72_00013793-RA,
Cc72_00013798-RA,
Cc72_00013802-RA,-0.764872797
Cc72_00013805-RA,-0.871906103
Cc72_00013803-RA,0.363873942
Cc72_00013801-RA,-0.016521922
Cc72_00013804-RA,-0.122319826
Cc72_00013807-RA,0.659937196
Cc72_00013806-RA,-0.487283984
Cc72_00013800-RA,
Cc72_00013809-RA,-0.419204168
Cc72_00013808-RA,-0.727293951
Cc72_00013810-RA,0.281524828
Cc72_00013811-RA,
Cc72_00013815-RA,0.366222884
Cc72_00013818-RA,
Cc72_00013816-RA,0.208843156
Cc72_00013812-RA,
Cc72_00013817-RA,0.519443938
Cc72_00013814-RA,0.207071794
Cc72_00013813-RA,
Cc72_00013820-RA,-0.804815359
Cc72_00013819-RA,-0.488535478
Cc72_00013821-RA,-0.790605124
Cc72_00013823-RA,0.410114644
Cc72_00013824-RA,-0.892101408
Cc72_00013825-RA,0.721394717
Cc72_00013822-RA,
Cc72_00013826-RA,-0.408115777
Cc72_00013827-RA,0.456989963
Cc72_00013832-RA,-0.533264642
Cc72_00013836-RA,0.445223257
Cc72_00013835-RA,0.612257485
Cc72_00013837-RA,0.658848058
Cc72_00013828-RA,-0.569912438
Cc72_00013830-RA,-0.07589323
Cc72_00013838-RA,0.667142371
Cc72_00013834-RA,0.004493001
Cc72_00013829-RA,-0.707435245
Cc72_00013833-RA,-0.542439404
Cc72_00013831-RA,-0.58020021
Cc72_00013839-RA,0.822645648
Cc72_00013843-RA,-0.513993756
Cc72_00013840-RA,-0.246156996
Cc72_00013842-RA,-0.804307268
Cc72_00013841-RA,-0.837373683
Cc72_00013844-RA,-0.533264642
Cc72_00013845-RA,0.373980458
Cc72_00013847-RA,0.822215595
Cc72_00013846-RA,0.175010651
Cc72_00013853-RA,-0.55017099
Cc72_00013848-RA,-0.62250021
Cc72_00013854-RA,
Cc72_00013851-RA,-0.703686717
Cc72_00013849-RA,
Cc72_00013852-RA,
Cc72_00013850-RA,-0.17659505
Cc72_00013855-RA,-0.50974353
Cc72_00013856-RA,0.207071794
Cc72_00013857-RA,
Cc72_00013858-RA,-0.884855276
Cc72_00013861-RA,-0.832700603
Cc72_00013866-RA,-0.444915007
Cc72_00013865-RA,-0.290833791
Cc72_00013862-RA,-0.413114096
Cc72_00013859-RA,0.59044235
Cc72_00013863-RA,-0.720502493
Cc72_00013860-RA,-0.808596108
Cc72_00013864-RA,-0.465837359
Cc72_00013869-RA,-0.686732171
Cc72_00013867-RA,0.78181358
Cc72_00013868-RA,0.113223042
Cc72_00013874-RA,-0.791019115
Cc72_00013871-RA,-0.197198131
Cc72_00013876-RA,-0.809883493
Cc72_00013873-RA,-0.84311555
Cc72_00013879-RA,0.844844567
Cc72_00013875-RA,-0.543540084
Cc72_00013877-RA,0.603314363
